Timestamp,Trading Date Time,Symbol,Price,Price Notation,Price Currency,Executed Shares,Notional Amount,Notional Currency,Execution Venue,Third Country Trading Venue,Publication Date Time,Trade ID,Transaction To Be Cleared,Market Mechanism,Trading Mode,Transaction Category,Negotiation Flag,Agency Cross Trade,Modification Indicator,Benchmark/Reference Indicator,Special Dividend,Off Book Automated,Price Discovery Process,Algorithmic Indicator,Pre-Trade Transparency Waiver,Portfolio Flag,Contingent Flag,Give-up Flag,Post-Trade Deferral Reason,Deferral Or Enrichment Type,Deferral Illiquid Instrument,Deferral Size Specific,Duplicative Indicator,Duplicative Across Jurisdiction,Intra-Group Indicator,Jurisdiction
15:01:41,2026-09-15T14:01:41.513474Z,IT0005508921,00000011.858000000,MONE,EUR,000000000047,00000557.326000000,EUR,BEUP,    ,2026-09-15T14:01:41.513474Z,000290005QFT,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.513474Z,IT0005508921,00000011.858000000,MONE,EUR,000000000001,00000011.858000000,EUR,BEUP,    ,2026-09-15T14:01:41.513474Z,000290005QFU,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.534300Z,FR0000045072,00000018.482500000,MONE,EUR,000000000003,00000055.447500000,EUR,BEUP,    ,2026-09-15T14:01:41.534300Z,0002400026G7,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.556593Z,IE00BD1RP616,00000019.980000000,MONE,EUR,000000000004,00000079.920000000,EUR,CEUX,    ,2026-09-15T14:01:41.556593Z,000260003YP8,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.579603Z,SE0010468116,00000027.680000000,MONE,SEK,000000000215,00005951.200000000,SEK,CEUX,    ,2026-09-15T14:01:41.579603Z,0002C0008LO4,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.579603Z,SE0010468116,00000027.680000000,MONE,SEK,000000000020,00000553.600000000,SEK,CEUX,    ,2026-09-15T14:01:41.579603Z,0002C0008LO5,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.579603Z,SE0010468116,00000027.680000000,MONE,SEK,000000000090,00002491.200000000,SEK,CEUX,    ,2026-09-15T14:01:41.579603Z,0002C0008LO6,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.617805Z,NL00150001Q9,00000004.544000000,MONE,EUR,000000000495,00002249.280000000,EUR,BEUP,    ,2026-09-15T14:01:41.617805Z,000290005QFV,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.753401Z,IT0005495657,00000004.220500000,MONE,EUR,000000000446,00001882.343000000,EUR,BEUP,    ,2026-09-15T14:01:41.753401Z,000290005QFW,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.779865Z,DK0061412772,00000057.825000000,MONE,NOK,000000000033,00001908.225000000,NOK,BEUP,    ,2026-09-15T14:01:41.779865Z,0002C0008LO7,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.795875Z,NO0010096985,00000422.800000000,MONE,NOK,000000000052,00021985.600000000,NOK,CEUX,    ,2026-09-15T14:01:41.795875Z,0002C0008LO8,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.798825Z,IT0000062072,00000045.480000000,MONE,EUR,000000000040,00001819.200000000,EUR,BEUP,    ,2026-09-15T14:01:41.798825Z,000290005QFX,TRUE ,PA  ,OD  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.805683Z,NO0004822503,00000169.800000000,MONE,NOK,000000000038,00006452.400000000,NOK,CEUX,    ,2026-09-15T14:01:41.805683Z,0002C0008LO9,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
15:01:41,2026-09-15T14:01:41.805683Z,NO0004822503,00000169.800000000,MONE,NOK,000000000005,00000849.000000000,NOK,CEUX,    ,2026-09-15T14:01:41.805683Z,0002C0008LOA,TRUE ,LB  ,CT  ,    ,    ,    ,    ,    ,    ,    ,    ,ALGO,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,EU
